ID,Car MakeID,Car Make,Car ModelID,Car Model,YearID,Year,Mileage,Price,Fuel TypeID,Fuel Type,ColorID,Color,TransmissionID,Transmission,Options/FeaturesID,Options/Features,ConditionID,Condition,Accident,AccidentID
136,27,Toyota,58,Highlander,12,2022,117544,13791.304,2,Gasoline,3,Gray,0,Automatic,446,"GPS, Sunroof, Backup Camera",0,Like New,Yes,1
137,5,Chevrolet,69,Malibu,2,2012,71877,31839.84,2,Gasoline,1,Blue,0,Automatic,445,"GPS, Sunroof",1,New,Yes,1
138,14,Kia,101,Soul,2,2012,51913,37521.76,2,Gasoline,5,Orange,1,Manual,1022,"Sunroof, Heated Seats",1,New,Yes,1
139,12,Hyundai,108,Tucson,1,2011,102729,8298.432,2,Gasoline,8,White,0,Automatic,452,"GPS, Sunroof, Bluetooth, Backup Camera",2,Used,Yes,1
140,12,Hyundai,40,Elantra,8,2018,124733,4286.888,0,Diesel,3,Gray,1,Manual,182,"Bluetooth, Backup Camera, Sunroof, Leather Seats",2,Used,Yes,1
141,6,Chevy,98,Silverado,2,2012,6671,37566.312,2,Gasoline,1,Blue,1,Manual,388,"GPS, Heated Seats, Sunroof",2,Used,Yes,1
142,28,Volkswagen,62,Jetta,3,2013,143887,39392.168,3,Hybrid,9,Yellow,0,Automatic,314,GPS,1,New,Yes,1
143,26,Tesla,77,Model Y,11,2021,102646,20504.488,2,Gasoline,2,Brown,0,Automatic,324,"GPS, Backup Camera, Heated Seats, Remote Start",2,Used,Yes,1
144,25,Subaru,51,Forester,3,2013,81461,13395.672,1,Electric,4,Green,1,Manual,697,"Leather Seats, GPS, Remote Start",0,Like New,Yes,1
145,11,Honda,48,Fit,1,2011,45739,7803.68,3,Hybrid,9,Yellow,1,Manual,912,"Remote Start, Leather Seats, Sunroof",0,Like New,Yes,1
146,28,Volkswagen,105,Tiguan,4,2014,36434,9068.94,1,Electric,2,Brown,0,Automatic,367,"GPS, Heated Seats",1,New,No,0
147,26,Tesla,76,Model X,6,2016,139600,5762.224,1,Electric,3,Gray,0,Automatic,72,"Backup Camera, Heated Seats, Remote Start, Leather Seats",1,New,Yes,1
148,1,Audi,10,A3,1,2011,41645,8372.32,2,Gasoline,1,Blue,0,Automatic,587,"Heated Seats, Remote Start, GPS",1,New,Yes,1
149,7,Chrysler,38,Dodge Durango,4,2014,24657,5981.01,2,Gasoline,1,Blue,1,Manual,440,"GPS, Remote Start, Sunroof",1,New,No,0
150,10,Ford,42,Escape,9,2019,118549,41975.84,3,Hybrid,9,Yellow,0,Automatic,236,"Bluetooth, Leather Seats",0,Like New,No,0
151,5,Chevrolet,69,Malibu,4,2014,121919,35803.256,2,Gasoline,2,Brown,0,Automatic,967,"Sunroof, Backup Camera, Remote Start, GPS",2,Used,Yes,1
152,2,BMW,3,5 Series,6,2016,40975,19092.456,0,Diesel,5,Orange,0,Automatic,136,"Backup Camera, Sunroof, Bluetooth, Remote Start",0,Like New,Yes,1
153,18,Mazda,20,CX-5,2,2012,11832,15479.592,0,Diesel,6,Red,1,Manual,803,"Remote Start, Backup Camera, Leather Seats",1,New,Yes,1
154,5,Chevrolet,98,Silverado,3,2013,68216,13594.976,2,Gasoline,1,Blue,1,Manual,629,"Leather Seats, Backup Camera",0,Like New,Yes,1
155,12,Hyundai,108,Tucson,9,2019,12394,29324.304,1,Electric,2,Brown,0,Automatic,16,"Backup Camera, Bluetooth, Leather Seats, Sunroof",2,Used,Yes,1
156,10,Ford,45,F-150,0,2010,65980,25659.864,2,Gasoline,5,Orange,1,Manual,891,"Remote Start, Leather Seats",1,New,Yes,1
157,12,Hyundai,99,Sonata,12,2022,89826,6144.016,0,Diesel,2,Brown,0,Automatic,157,Bluetooth,1,New,Yes,1
158,18,Mazda,67,MX-5 Miata,1,2011,93227,14863.544,0,Diesel,8,White,1,Manual,708,"Leather Seats, Heated Seats, Backup Camera",2,Used,Yes,1
159,9,Fiat,84,Panda,3,2013,50967,17621.824,1,Electric,8,White,0,Automatic,796,"Remote Start, Backup Camera, GPS, Leather Seats",2,Used,Yes,1
160,9,Fiat,84,Panda,12,2022,62906,27027.28,2,Gasoline,9,Yellow,0,Automatic,262,"Bluetooth, Remote Start",0,Like New,Yes,1
161,5,Chevrolet,98,Silverado,11,2021,93014,20078.68,1,Electric,1,Blue,0,Automatic,190,"Bluetooth, GPS, Heated Seats",2,Used,Yes,1
162,10,Ford,78,Mustang,7,2017,115009,48609.58,3,Hybrid,9,Yellow,1,Manual,786,Remote Start,0,Like New,No,0
163,13,Jaguar,60,I-Pace,10,2020,64135,9855.632,2,Gasoline,6,Red,1,Manual,425,"GPS, Remote Start, Bluetooth",1,New,Yes,1
164,5,Chevrolet,31,Cruze,2,2012,24661,23693.664,2,Gasoline,7,Silver,1,Manual,555,"Heated Seats, Leather Seats, Backup Camera, Sunroof",2,Used,Yes,1
165,5,Chevrolet,98,Silverado,1,2011,91794,11399.816,0,Diesel,4,Green,1,Manual,692,"Leather Seats, GPS, Heated Seats",2,Used,Yes,1
166,18,Mazda,67,MX-5 Miata,8,2018,133699,11911.55,1,Electric,6,Red,1,Manual,695,"Leather Seats, GPS, Heated Seats, Remote Start",1,New,No,0
167,5,Chevrolet,69,Malibu,1,2011,129143,42969.61,1,Electric,4,Green,1,Manual,471,Heated Seats,0,Like New,No,0
168,6,Chevy,69,Malibu,2,2012,102260,44847.17,1,Electric,8,White,1,Manual,989,"Sunroof, Bluetooth, Leather Seats, Heated Seats",1,New,No,0
169,7,Chrysler,82,Pacifica,2,2012,30350,7085.464,1,Electric,5,Orange,1,Manual,786,Remote Start,2,Used,Yes,1
170,18,Mazda,67,MX-5 Miata,6,2016,145381,35918.06,3,Hybrid,2,Brown,0,Automatic,943,Sunroof,0,Like New,No,0
171,10,Ford,44,Explorer,9,2019,140480,32816.216,0,Diesel,0,Black,1,Manual,891,"Remote Start, Leather Seats",1,New,Yes,1
172,11,Honda,27,Civic,6,2016,25543,39578.08,3,Hybrid,1,Blue,0,Automatic,540,"Heated Seats, GPS, Remote Start",2,Used,Yes,1
173,18,Mazda,67,MX-5 Miata,6,2016,149717,15740.568,1,Electric,5,Orange,1,Manual,943,Sunroof,1,New,Yes,1
174,11,Honda,13,Accord,9,2019,31267,37297.416,2,Gasoline,3,Gray,1,Manual,607,"Heated Seats, Sunroof, Backup Camera, Remote Start",0,Like New,Yes,1
