ID,Car MakeID,Car ModelID,YearID,Mileage,Price,Fuel TypeID,ColorID,TransmissionID,Options/FeaturesID,ConditionID,AccidentID
137,5,69,2,71877,31839.84,2,1,0,445,1,1
138,14,101,2,51913,37521.76,2,5,1,1022,1,1
139,12,108,1,102729,8298.43,2,8,0,452,2,1
140,12,40,8,124733,4286.89,0,3,1,182,2,1
141,6,98,2,6671,37566.31,2,1,1,388,2,1
142,28,62,3,143887,39392.17,3,9,0,314,1,1
143,26,77,11,102646,20504.49,2,2,0,324,2,1
144,25,51,3,81461,13395.67,1,4,1,697,0,1
145,11,48,1,45739,7803.68,3,9,1,912,0,1
146,28,105,4,36434,9068.94,1,2,0,367,1,0
147,26,76,6,139600,5762.22,1,3,0,72,1,1
148,1,10,1,41645,8372.32,2,1,0,587,1,1
149,7,38,4,24657,5981.01,2,1,1,440,1,0
150,10,42,9,118549,41975.84,3,9,0,236,0,0
151,5,69,4,121919,35803.26,2,2,0,967,2,1
152,2,3,6,40975,19092.46,0,5,0,136,0,1
153,18,20,2,11832,15479.59,0,6,1,803,1,1
154,5,98,3,68216,13594.98,2,1,1,629,0,1
155,12,108,9,12394,29324.30,1,2,0,16,2,1
156,10,45,0,65980,25659.86,2,5,1,891,1,1
157,12,99,12,89826,6144.02,0,2,0,157,1,1
158,18,67,1,93227,14863.54,0,8,1,708,2,1
159,9,84,3,50967,17621.82,1,8,0,796,2,1
160,9,84,12,62906,27027.28,2,9,0,262,0,1
161,5,98,11,93014,20078.68,1,1,0,190,2,1
162,10,78,7,115009,48609.58,3,9,1,786,0,0
163,13,60,10,64135,9855.63,2,6,1,425,1,1
164,5,31,2,24661,23693.66,2,7,1,555,2,1
165,5,98,1,91794,11399.82,0,4,1,692,2,1
166,18,67,8,133699,11911.55,1,6,1,695,1,0
167,5,69,1,129143,42969.61,1,4,1,471,0,0
168,6,69,2,102260,44847.17,1,8,1,989,1,0
169,7,82,2,30350,7085.46,1,5,1,786,2,1
170,18,67,6,145381,35918.06,3,2,0,943,0,0
171,10,44,9,140480,32816.22,0,0,1,891,1,1
172,11,27,6,25543,39578.08,3,1,0,540,2,1
173,18,67,6,149717,15740.57,1,5,1,943,1,1
174,11,13,9,31267,37297.42,2,3,1,607,0,1
175,10,42,4,110637,11473.37,3,6,1,471,0,0
176,13,46,5,10303,16163.18,1,3,1,655,0,1
177,23,68,4,114254,25779.25,2,1,1,789,1,1
178,16,93,1,86559,29544.50,3,8,0,839,1,1
179,26,74,7,18253,37049.12,0,3,1,471,0,1
180,27,29,5,133132,25385.57,0,9,1,587,0,1
181,28,62,6,18015,9864.66,0,1,0,603,2,1
182,27,23,7,39685,34131.72,2,1,1,1080,2,0
183,23,68,3,127342,14877.22,3,2,0,216,1,1
184,13,117,5,77478,27061.41,1,3,1,315,1,1
185,18,20,10,41681,37457.74,3,3,1,527,0,0
186,12,99,10,145151,26979.29,3,7,1,461,1,1
187,22,64,12,52990,38089.24,1,0,0,981,0,1
188,22,64,4,126572,34643.70,3,6,0,786,0,1
189,18,67,4,113293,5946.23,0,8,0,673,0,1
190,13,46,10,51353,15282.90,2,6,1,79,0,1
191,13,117,2,118694,26805.55,3,4,1,0,0,1
192,20,54,0,89466,31246.52,0,6,0,498,2,1
193,28,57,1,105545,22120.11,1,8,0,1023,1,1
194,9,106,5,118682,35967.06,0,7,1,917,0,1
195,27,29,3,39394,11602.85,2,2,0,943,1,1
196,22,64,9,17736,25381.26,2,0,0,1087,1,1
197,13,118,3,7439,14840.19,2,5,1,842,2,1
198,28,62,12,32856,21918.61,0,3,0,682,0,1
199,13,118,11,131003,15901.73,2,6,0,315,1,1
200,2,0,4,65597,20443.05,1,3,1,839,1,1
201,28,85,12,86974,19335.82,2,0,0,262,1,1
202,23,104,4,29366,17414.40,1,8,0,300,0,1
203,5,98,2,20373,39336.49,0,0,1,651,2,1
204,9,4,10,39250,26738.58,3,0,1,157,0,0
205,12,40,11,142577,31631.03,0,7,0,234,0,1
206,6,107,0,8052,27162.35,0,5,1,786,0,1
207,13,46,3,91742,38925.22,2,5,0,906,2,1
208,23,104,7,28073,34837.22,3,7,0,943,0,1
209,25,80,8,148942,5007.64,2,2,1,271,2,0
210,23,68,8,129029,29799.69,1,9,0,157,1,1
211,14,52,8,141835,17460.06,2,6,0,344,0,1
212,20,18,6,61515,20453.66,0,7,0,786,0,1
213,23,83,10,137172,8846.90,3,6,0,98,2,1
214,11,27,6,89369,22147.97,3,4,0,304,0,1
215,11,87,9,139294,14760.87,1,5,0,509,1,1
216,5,107,8,89510,36965.87,1,5,1,928,2,0
217,16,36,0,104842,11539.70,2,1,1,687,1,0
218,20,95,0,99026,33304.94,2,2,0,53,2,1
219,28,62,6,106595,18996.38,1,5,0,131,1,1
220,26,76,12,148291,30584.20,0,1,1,628,0,1
221,5,107,1,103880,5462.83,1,5,1,362,1,1
222,11,27,2,89575,25487.69,1,9,1,629,1,1
223,2,116,2,114033,23550.89,3,0,1,273,1,1
224,20,95,8,129480,39878.72,2,0,1,367,0,1
225,12,96,12,34720,22364.42,1,6,1,354,2,0
226,16,36,1,48881,38978.63,2,0,0,859,2,1
227,2,115,0,125383,29807.26,2,0,0,43,1,1
228,26,76,6,106720,20240.52,3,4,1,0,1,1
229,27,92,1,16931,29231.75,2,7,0,157,0,1
230,23,83,6,13079,21063.56,0,8,1,210,2,1
231,14,79,8,42060,8436.46,2,2,1,713,2,1
232,20,9,10,139362,9128.38,0,1,1,472,1,1
233,10,44,7,149091,6633.21,2,3,0,247,1,1
234,1,12,9,23299,36404.27,1,9,1,105,0,1
235,14,52,6,49207,4173.94,0,1,1,576,0,1
236,12,96,7,121747,16914.70,1,9,0,892,1,1
237,20,54,11,25044,30187.31,2,5,0,315,2,1
238,22,64,8,128759,34425.87,0,7,1,944,1,0
239,16,36,6,100385,22078.02,0,2,0,737,2,1
240,13,46,0,62362,39266.26,0,0,1,471,0,0
241,20,95,12,99699,17971.35,3,6,0,471,2,1
242,16,43,11,74026,24830.73,0,4,1,1049,0,1
243,18,20,5,132627,32535.67,2,5,0,315,0,1
244,22,70,2,53996,9664.86,2,1,1,627,0,1
245,7,25,10,112714,4808.06,2,8,0,393,1,1
246,22,70,8,111287,25576.87,2,3,0,939,1,1
247,25,65,2,52679,26435.62,1,8,1,1074,0,1
248,11,27,0,58044,22817.61,3,8,0,786,1,1
249,6,107,12,35806,7354.84,0,2,0,189,2,1
250,26,77,12,104938,16618.64,2,4,0,839,0,1
251,28,16,8,112124,16601.22,2,6,0,560,2,0
252,14,79,2,116692,27456.74,1,3,1,618,2,1
253,25,65,12,131476,10433.90,3,3,1,564,2,1
254,23,24,1,61218,27875.46,1,5,0,786,1,0
255,2,115,7,119131,7173.06,1,1,1,956,1,1
256,9,4,12,50946,33813.11,3,6,0,315,2,0
257,16,111,11,65731,26146.84,2,7,0,341,2,1
258,18,20,10,108584,18596.23,0,5,0,0,2,1
259,28,16,9,96251,16509.10,1,1,0,157,0,1
260,5,31,8,32909,24110.70,1,7,0,623,2,1
261,7,113,12,68772,31269.04,3,9,0,461,0,1
262,26,76,6,97562,22594.15,2,3,0,584,0,1
263,6,98,7,87279,20909.21,1,8,0,550,0,0
264,22,70,3,58154,34057.86,1,8,0,45,1,1
265,13,46,9,87684,21724.26,1,9,0,647,2,1
266,16,35,7,146759,5172.26,1,4,0,217,0,1
267,20,9,9,31410,15715.70,1,8,1,9,1,1
268,13,119,3,114862,29225.66,1,7,1,79,0,1
269,7,25,1,75765,32947.15,3,4,0,859,1,1
270,13,118,10,140530,23223.38,1,9,1,381,0,1
271,20,54,7,30244,20194.78,1,3,1,466,0,1
272,14,102,3,146148,10283.40,1,7,1,447,2,1
273,23,24,2,93444,19185.39,3,0,0,262,1,1
274,28,85,9,108666,13764.93,3,7,1,839,0,1
275,11,13,10,70967,37855.74,2,1,0,314,0,1
276,13,60,0,11911,31753.62,2,0,1,471,2,1
277,18,20,3,69853,30553.36,3,8,0,314,2,1
278,14,52,7,127471,39099.34,1,5,1,581,1,1
279,16,111,4,96008,26674.33,0,0,1,254,0,0
280,27,92,12,40730,16379.86,3,5,0,209,2,1
281,9,5,12,6892,23735.64,0,4,1,576,0,1
282,18,21,3,73938,6851.55,0,5,1,698,0,1
283,28,62,10,124365,26238.26,1,2,1,628,1,1
284,10,44,0,53742,39003.98,1,3,0,628,2,1
285,2,115,0,134388,11818.77,3,3,1,157,0,1
286,2,115,0,74862,31923.50,2,5,1,928,1,1
287,1,89,6,121119,12897.84,2,1,1,1074,2,1
288,28,85,2,16058,30810.09,2,3,1,184,2,1
289,20,18,3,118812,15682.49,0,3,0,314,0,1
290,7,113,11,45630,17370.35,2,1,0,876,0,1
291,10,50,10,45348,29247.82,2,8,1,938,1,1
292,27,103,5,40319,13025.06,2,9,1,646,2,1
293,12,96,4,47033,6479.56,0,9,1,372,0,1
294,5,98,9,100440,31936.60,0,7,0,53,2,1
295,13,60,2,79220,15613.60,1,0,0,786,2,1
296,11,13,0,57973,7853.98,0,0,0,117,2,1
297,10,50,3,23579,4471.10,0,9,0,74,0,1
298,14,79,9,74681,23044.75,2,3,0,471,1,1
299,26,77,3,55625,22942.91,0,2,0,786,2,1
300,7,1,10,125250,29291.82,3,0,0,551,1,1
301,9,37,5,87615,23802.93,1,7,1,95,2,1
302,6,98,6,149241,37341.29,1,7,1,471,0,1
303,10,50,9,9273,28292.42,1,6,1,373,1,0
304,6,107,8,45557,7394.34,3,7,0,90,1,1
305,22,94,1,109804,24486.34,0,0,1,868,0,1
306,9,84,0,105020,6825.18,2,7,1,786,0,1
307,26,74,10,105266,5948.61,2,7,0,367,0,1
308,18,21,12,137311,7242.98,3,3,1,446,1,1
309,10,44,6,73827,7062.84,3,8,0,1026,0,1
310,6,107,11,142428,16081.06,2,3,1,471,0,0
311,25,30,5,96306,13572.04,1,2,0,152,0,0
312,11,87,0,66207,11188.66,1,8,0,79,1,1
313,28,62,5,34170,14984.25,3,6,1,105,1,1
314,22,64,7,42053,29022.56,2,4,0,157,0,1
315,20,95,4,18915,20738.59,2,0,1,850,2,1
316,28,105,3,104798,22307.45,2,7,1,629,2,1
317,23,104,11,10633,5431.09,1,7,1,157,0,1
318,14,52,10,84253,12503.37,1,6,1,739,0,1
319,18,73,1,105193,22745.84,0,4,0,178,2,1
320,6,98,3,41327,24917.10,0,8,1,895,2,1
321,12,40,8,144712,38149.66,2,8,1,1080,1,1
322,23,68,2,54265,7843.77,0,6,1,707,2,1
323,27,58,1,129938,8827.12,3,7,0,750,0,1
324,10,78,12,8935,37315.66,3,1,0,944,1,1
325,13,46,7,69692,24240.01,2,2,1,71,2,0
326,16,36,7,124773,42215.45,2,1,1,61,2,0
327,28,105,6,84837,31852.38,1,9,0,471,0,1
328,16,93,7,123409,7255.87,2,8,0,1012,0,1
329,23,104,11,57935,35771.74,2,3,1,314,2,1
330,1,10,10,100143,8838.79,3,5,0,786,0,0
331,5,69,9,44345,12295.58,0,8,0,608,0,0
332,5,98,2,58176,4127.18,1,6,1,0,0,1
333,13,118,3,129705,25418.23,3,0,0,393,1,0
334,11,27,10,96493,5321.96,2,2,1,314,0,1
335,25,51,2,79548,25999.23,0,9,1,283,1,1
336,2,114,8,22019,14541.98,0,0,1,550,0,1
337,9,4,1,143660,39538.82,3,2,1,116,0,1
338,14,100,9,135127,22709.41,3,9,0,692,2,1
339,27,103,10,35913,30548.86,0,2,1,169,0,1
340,27,29,11,78826,13159.03,2,3,1,314,2,1
341,12,108,6,12632,33953.54,0,7,1,859,2,1
342,11,87,8,92846,20648.92,3,6,1,628,2,1
343,7,1,12,97692,6383.67,0,3,0,105,0,1
344,18,73,9,35630,35125.38,1,7,0,943,0,1
345,26,76,7,84332,14726.29,1,8,0,445,0,0
346,16,36,12,131527,36578.41,0,1,1,682,0,1
347,11,13,11,14582,20537.26,2,6,1,1007,1,1
348,16,43,0,86826,26998.63,0,7,0,22,1,1
349,1,12,2,46286,13850.93,2,2,0,252,1,1
350,7,25,2,23675,15209.59,1,5,1,943,1,1
351,10,45,6,19103,8875.38,3,8,1,237,2,0
352,2,114,9,39549,7344.98,3,0,1,751,0,1
353,14,101,2,91593,40495.04,1,9,1,363,1,0
354,5,69,12,96387,25759.85,0,5,0,59,0,1
355,28,16,7,110071,25259.30,0,2,0,1005,2,1
356,7,113,12,119125,24419.60,1,5,0,325,1,1
357,12,63,1,121710,10342.26,3,0,0,1033,2,1
358,2,115,2,5048,31254.80,0,9,1,707,0,1
359,12,108,9,84835,37066.06,3,7,0,899,2,1
360,14,102,0,5221,29320.75,1,0,1,494,1,1
361,18,21,6,119082,23624.28,0,9,0,938,1,1
362,28,57,2,8041,6582.86,2,8,1,393,2,1
363,25,30,12,116595,26436.94,3,5,1,251,2,1
364,9,4,9,135588,34484.94,0,5,1,314,0,1
365,7,113,11,101620,8073.92,3,0,0,45,2,1
366,26,77,10,25468,28626.66,1,2,0,966,0,1
367,25,61,12,82232,14411.50,2,2,1,471,2,1
368,13,60,2,18531,27627.51,1,2,0,628,0,1
369,16,36,12,77836,13073.83,1,3,1,53,1,1
370,11,87,5,50979,13405.10,0,9,0,394,2,1
371,11,87,12,113251,31733.24,0,9,0,471,1,1
372,22,14,0,48935,20704.54,3,3,1,598,2,1
373,22,70,8,118962,4427.07,3,4,1,0,2,1
374,14,101,9,76457,16058.82,1,0,1,882,2,1
375,16,43,10,52164,15277.71,2,6,0,0,1,1
376,1,10,5,62518,30109.02,1,1,0,0,1,1
377,20,95,10,36926,29490.70,2,0,0,471,0,1
378,5,69,4,127409,27777.20,2,9,1,687,0,1
379,10,78,6,92203,39854.51,1,3,0,654,0,1
380,13,117,2,146723,31673.46,0,2,0,314,0,1
381,2,0,9,70692,31980.54,2,9,0,471,2,1
382,18,20,2,91463,36566.23,2,5,1,879,0,1
383,27,103,11,131370,8363.33,1,7,1,157,0,1
384,6,41,1,125491,31376.31,1,1,0,560,2,1
385,1,12,7,27246,35867.71,3,1,0,471,1,1
386,7,25,7,106913,6267.74,1,9,1,357,1,1
387,18,72,3,142132,20501.34,0,2,0,1022,1,1
388,27,103,9,17006,12736.57,0,6,0,860,2,1
389,9,5,9,21766,41801.01,2,0,1,786,2,0
390,20,9,5,110384,19590.57,0,7,0,425,1,0
391,11,87,2,101974,23922.68,3,1,0,906,1,1
392,2,0,0,52032,37340.93,1,4,1,707,2,1
393,22,64,7,113011,12613.14,0,2,0,31,2,1
394,25,80,8,66771,10908.50,2,2,1,883,2,1
395,10,42,1,44116,28668.78,3,9,0,471,1,1
396,14,52,3,118946,13049.74,3,6,0,681,2,1
397,13,60,1,23575,36222.85,3,2,1,687,0,1
398,26,74,3,113159,35315.90,3,1,0,943,0,1
399,11,13,9,124273,13012.73,1,8,1,252,2,0
400,11,27,11,20637,14101.75,2,9,1,656,0,1
401,5,107,2,149901,34780.14,2,4,1,208,1,1
402,26,76,6,63302,36105.62,0,2,0,943,0,1
403,16,36,6,144230,18195.53,2,9,1,471,1,1
404,25,51,2,98953,14648.46,2,6,1,602,2,1
405,7,38,0,124233,20695.38,0,4,0,786,0,1
406,2,114,11,92269,28891.41,1,4,1,0,2,0
407,12,40,8,100417,35967.21,2,4,1,237,0,1
408,2,116,11,58664,8982.61,1,1,0,865,2,1
409,26,76,5,75086,22128.38,3,3,0,1075,1,1
410,16,36,7,144435,28419.10,1,9,1,996,2,1
411,2,114,2,80595,38497.23,2,0,0,1048,0,1
412,20,95,10,10948,14554.10,0,9,1,157,0,1
413,20,18,0,65903,42572.64,1,4,1,73,2,0
414,23,68,9,39591,36338.15,1,8,1,195,1,1
415,14,52,7,48611,26270.69,0,5,1,733,1,1
416,1,11,5,38154,19871.99,1,8,0,252,2,1
417,23,104,2,144891,14856.15,2,4,1,682,1,1
418,16,43,10,82478,21060.78,1,2,0,545,2,1
419,10,42,10,149430,8207.54,2,4,0,157,0,1
420,10,44,10,56157,25003.53,0,3,0,591,1,1
421,20,9,5,139101,47453.10,1,4,0,976,2,0
422,28,85,5,85762,48988.56,2,1,1,258,2,0
423,11,48,9,27564,9171.02,1,9,1,314,1,1
424,25,61,6,50847,24009.30,0,1,0,343,0,1
425,13,60,11,126491,12082.73,2,8,1,471,0,1
426,28,105,2,133945,36644.55,0,6,0,0,0,1
427,14,102,7,119312,35260.46,3,0,1,635,2,1
428,11,19,7,40519,16865.88,2,3,1,157,0,1
429,28,16,10,25139,22499.19,0,0,0,871,2,1
430,22,94,1,145095,24881.68,0,6,0,933,2,1
431,12,99,1,62114,11954.97,0,1,0,314,0,0
432,11,27,7,96281,15216.65,1,8,1,498,2,1
433,27,23,3,38741,34845.34,0,1,1,445,1,1
434,1,11,0,131944,31264.02,2,1,0,358,1,1
435,28,62,12,30297,32165.35,0,2,0,314,1,1
436,11,19,9,96183,16679.32,0,5,0,550,1,1
437,28,57,12,145804,4155.84,2,1,1,537,0,1
438,18,21,3,139807,12191.95,2,7,0,970,0,1
439,28,16,11,15645,6960.93,3,0,1,618,0,1
440,6,69,4,117187,10796.26,2,9,1,546,1,1
441,16,36,1,42582,22766.52,2,8,0,650,0,0
442,1,89,6,135838,14026.66,1,4,1,16,0,1
443,1,11,4,133277,21901.86,0,6,0,943,2,1
444,27,29,6,90709,9498.52,2,0,1,623,0,1
445,16,43,8,95076,33141.34,2,6,1,300,1,1
446,10,45,2,84441,35849.21,0,9,1,1001,1,1
447,6,107,9,128160,21132.80,0,5,0,153,0,1
448,28,85,0,12378,25256.68,0,7,1,1017,2,1
449,14,52,6,97083,6032.18,0,1,0,471,2,1
450,2,3,1,93498,10112.06,1,6,1,207,2,1
451,12,96,9,107315,15607.17,2,9,0,945,2,1
452,5,107,4,100245,38899.40,0,9,0,200,2,1
453,7,113,12,64214,26484.60,2,2,0,321,2,1
454,13,119,3,96046,40804.33,1,5,1,1074,0,0
455,22,64,8,123811,28176.17,0,6,0,576,2,1
456,23,68,10,144649,33121.61,3,2,0,1064,2,1
457,11,19,6,112547,15471.51,2,1,1,210,0,1
458,9,5,6,67516,8088.11,0,6,0,144,0,1
459,20,39,4,40764,5049.10,1,5,0,851,2,1
460,12,63,4,21667,36420.70,3,7,0,315,0,1
461,16,36,8,142693,13065.09,2,1,0,885,0,1
462,20,39,1,50915,11707.91,1,9,1,3,0,1
463,6,69,7,69578,38679.35,0,7,1,368,2,1
464,10,45,11,67829,16384.23,3,3,1,917,2,0
465,18,72,6,71986,14831.98,0,3,0,886,1,1
466,10,50,1,133894,20959.29,3,7,1,28,1,1
467,25,65,11,148583,38200.35,3,6,0,884,2,0
468,18,73,10,85097,15293.98,2,0,0,835,1,1
469,11,19,2,90873,32783.03,0,0,1,962,0,1
470,27,92,10,64954,36646.42,3,1,1,943,2,1
471,9,37,9,73198,9373.04,1,8,0,889,1,1
472,26,75,3,74783,14366.63,3,4,0,813,0,1
473,20,9,2,112092,32528.69,2,3,1,158,1,1
474,23,8,0,127914,8795.38,1,4,0,474,2,1
475,1,90,0,18661,19978.81,0,9,1,157,2,0
476,16,111,6,84300,39190.86,1,8,0,650,2,1
477,12,96,2,28500,15423.42,3,8,1,628,1,1
478,13,46,11,99527,37344.54,1,3,1,680,2,1
479,6,69,0,54524,9350.35,0,8,0,602,0,1
480,25,80,7,15693,19894.71,3,9,1,157,1,1
481,2,115,4,52357,34058.33,1,2,0,996,2,1
482,26,77,10,29721,35945.24,2,3,0,786,0,1
483,12,99,0,26250,20568.39,3,9,1,368,2,1
484,23,68,11,38900,11609.21,2,3,1,454,1,1
485,26,77,1,10377,43355.56,0,4,1,157,0,0
486,13,119,11,86291,36534.43,0,7,0,1092,0,1
487,7,38,6,28651,31233.66,1,2,0,314,0,1
488,16,43,7,63780,34142.48,0,9,0,454,0,0
489,11,19,3,142125,19398.34,2,5,0,1019,1,1
490,14,52,9,26435,31671.28,2,0,1,442,1,1
491,12,63,11,124275,31264.75,3,2,1,681,0,1
492,9,84,10,32873,19616.76,2,6,1,602,1,1
493,23,83,10,132591,14900.80,1,4,1,393,1,1
